iteration,epoch,mode,loss,value
402400,843,train,eikonal,0.052057310938835144
402400,843,train,render,0.17663216590881348
402400,843,train,total,0.18183790147304535
402500,843,train,eikonal,0.049570463597774506
402500,843,train,render,0.17120546102523804
402500,843,train,total,0.1761625111103058
402600,844,train,eikonal,0.06510373950004578
402600,844,train,render,0.11196492612361908
402600,844,train,total,0.1184753030538559
402700,844,train,eikonal,0.03940736874938011
402700,844,train,render,0.22555658221244812
402700,844,train,total,0.22949731349945068
402800,844,train,eikonal,0.04939540475606918
402800,844,train,render,0.21196138858795166
402800,844,train,total,0.21690092980861664
402900,844,train,eikonal,0.05136656388640404
402900,844,train,render,0.22571182250976562
402900,844,train,total,0.23084847629070282
403000,844,train,eikonal,0.04475250840187073
403000,844,train,render,0.18235814571380615
403000,844,train,total,0.18683339655399323
403100,845,train,eikonal,0.058309558779001236
403100,845,train,render,0.16913963854312897
403100,845,train,total,0.1749705970287323
403200,845,train,eikonal,0.06509050726890564
403200,845,train,render,0.1028011366724968
403200,845,train,total,0.10931018739938736
403300,845,train,eikonal,0.06945584714412689
403300,845,train,render,0.09384921193122864
403300,845,train,total,0.10079479962587357
403400,845,train,eikonal,0.051173124462366104
403400,845,train,render,0.1654333472251892
403400,845,train,total,0.1705506592988968
403500,845,train,eikonal,0.03256964311003685
403500,845,train,render,0.309055894613266
403500,845,train,total,0.31231287121772766
403600,846,train,eikonal,0.06494873762130737
403600,846,train,render,0.09275747835636139
403600,846,train,total,0.09925235062837601
403700,846,train,eikonal,0.0713682547211647
403700,846,train,render,0.09042385220527649
403700,846,train,total,0.09756067395210266
403800,846,train,eikonal,0.05084722489118576
403800,846,train,render,0.1902458220720291
403800,846,train,total,0.19533054530620575
403900,846,train,eikonal,0.04165349900722504
403900,846,train,render,0.24029579758644104
403900,846,train,total,0.24446114897727966
404000,846,train,eikonal,0.030918506905436516
404000,846,train,render,0.31308573484420776
404000,846,train,total,0.3161775767803192
404100,847,train,eikonal,0.057790860533714294
404100,847,train,render,0.16242888569831848
404100,847,train,total,0.16820797324180603
404200,847,train,eikonal,0.05409420654177666
404200,847,train,render,0.16063928604125977
404200,847,train,total,0.16604870557785034
404300,847,train,eikonal,0.05619494616985321
404300,847,train,render,0.14409375190734863
404300,847,train,total,0.14971324801445007
404400,847,train,eikonal,0.03062892146408558
404400,847,train,render,0.29929661750793457
404400,847,train,total,0.30235952138900757
404500,848,train,eikonal,0.05608286336064339
