iteration,epoch,mode,loss,value
3300,6,train,eikonal,0.00835114624351263
3300,6,train,render,0.10242515802383423
3300,6,train,total,0.10326027125120163
3400,7,train,eikonal,0.007805740460753441
3400,7,train,render,0.10518477112054825
3400,7,train,total,0.10596534609794617
3500,7,train,eikonal,0.02322385460138321
3500,7,train,render,0.15219345688819885
3500,7,train,total,0.1545158475637436
3600,7,train,eikonal,0.014857953414320946
3600,7,train,render,0.1271410435438156
3600,7,train,total,0.12862683832645416
3700,7,train,eikonal,0.015220686793327332
3700,7,train,render,0.1804865598678589
3700,7,train,total,0.18200862407684326
3800,7,train,eikonal,0.01585884392261505
3800,7,train,render,0.1155296266078949
3800,7,train,total,0.11711551249027252
3900,8,train,eikonal,0.02254985086619854
3900,8,train,render,0.14732232689857483
3900,8,train,total,0.1495773047208786
4000,8,train,eikonal,0.018571004271507263
4000,8,train,render,0.1544772982597351
4000,8,train,total,0.15633440017700195
4100,8,train,eikonal,0.015078824013471603
4100,8,train,render,0.12671023607254028
4100,8,train,total,0.12821811437606812
4200,8,train,eikonal,0.01384170725941658
4200,8,train,render,0.16677850484848022
4200,8,train,total,0.16816267371177673
4300,9,train,eikonal,0.011205039918422699
4300,9,train,render,0.1129552572965622
4300,9,train,total,0.11407576501369476
4400,9,train,eikonal,0.022073017433285713
4400,9,train,render,0.17821374535560608
4400,9,train,total,0.18042105436325073
4500,9,train,eikonal,0.017830289900302887
4500,9,train,render,0.15431249141693115
4500,9,train,total,0.15609551966190338
4600,9,train,eikonal,0.009465508162975311
4600,9,train,render,0.10986484587192535
4600,9,train,total,0.11081139743328094
4700,9,train,eikonal,0.01775490492582321
4700,9,train,render,0.14815658330917358
4700,9,train,total,0.14993207156658173
4800,10,train,eikonal,0.01354124303907156
4800,10,train,render,0.11854232847690582
4800,10,train,total,0.11989644914865494
4900,10,train,eikonal,0.018957994878292084
4900,10,train,render,0.12962916493415833
4900,10,train,total,0.1315249651670456
5000,10,train,eikonal,0.013558270409703255
5000,10,train,render,0.12940117716789246
5000,10,train,total,0.13075700402259827
5100,10,train,eikonal,0.018473640084266663
5100,10,train,render,0.13962194323539734
5100,10,train,total,0.1414692997932434
5200,10,train,eikonal,0.011876894161105156
5200,10,train,render,0.11727502942085266
5200,10,train,total,0.11846271902322769
5300,11,train,eikonal,0.014348776079714298
5300,11,train,render,0.12329109013080597
5300,11,train,total,0.12472596764564514
