iteration,epoch,mode,loss,value
3600,26,train,render,0.260473370552063
3600,26,train,total,0.2607841193675995
3700,27,train,eikonal,0.008901195600628853
3700,27,train,render,0.3047448396682739
3700,27,train,total,0.3056349456310272
3800,27,train,eikonal,0.004716770723462105
3800,27,train,render,0.27711421251296997
3800,27,train,total,0.2775858938694
3900,28,train,eikonal,0.00526890205219388
3900,28,train,render,0.2607719898223877
3900,28,train,total,0.26129889488220215
4000,29,train,eikonal,0.0038153158966451883
4000,29,train,render,0.28608614206314087
4000,29,train,total,0.28646767139434814
4100,29,train,eikonal,0.004653658717870712
4100,29,train,render,0.2777891457080841
4100,29,train,total,0.27825450897216797
4200,30,train,eikonal,0.004058724269270897
4200,30,train,render,0.2708324193954468
4200,30,train,total,0.2712382972240448
4300,31,train,eikonal,0.020045392215251923
4300,31,train,render,0.3304760456085205
4300,31,train,total,0.3324805796146393
4400,32,train,eikonal,0.0033470317721366882
4400,32,train,render,0.28933387994766235
4400,32,train,total,0.28966858983039856
4500,32,train,eikonal,0.010602487251162529
4500,32,train,render,0.3031056821346283
4500,32,train,total,0.30416592955589294
4600,33,train,eikonal,0.003522218205034733
4600,33,train,render,0.2898250222206116
4600,33,train,total,0.29017725586891174
4700,34,train,eikonal,0.006267971359193325
4700,34,train,render,0.29819947481155396
4700,34,train,total,0.29882627725601196
4800,35,train,eikonal,0.011088980361819267
4800,35,train,render,0.2796671986579895
4800,35,train,total,0.28077608346939087
4900,35,train,eikonal,0.012682884931564331
4900,35,train,render,0.30654722452163696
4900,35,train,total,0.3078155219554901
5000,36,train,eikonal,0.00905093178153038
5000,36,train,render,0.3102778196334839
5000,36,train,total,0.3111829161643982
5100,37,train,eikonal,0.013471441343426704
5100,37,train,render,0.299480676651001
5100,37,train,total,0.30082783102989197
5200,37,train,eikonal,0.008226722478866577
5200,37,train,render,0.30225229263305664
5200,37,train,total,0.3030749559402466
5300,38,train,eikonal,0.009030996821820736
5300,38,train,render,0.30133843421936035
5300,38,train,total,0.3022415339946747
5400,39,train,eikonal,0.012292121537029743
5400,39,train,render,0.31905171275138855
5400,39,train,total,0.32028093934059143
5500,40,train,eikonal,0.014519520103931427
5500,40,train,render,0.3013591766357422
5500,40,train,total,0.3028111159801483
5600,40,train,eikonal,0.009898705407977104
