iteration,epoch,mode,loss,value
1700,10,train,total,0.21321725845336914
1800,10,train,eikonal,0.0020881600212305784
1800,10,train,render,0.2031252682209015
1800,10,train,total,0.20333407819271088
1900,11,train,eikonal,0.0015154764987528324
1900,11,train,render,0.23880743980407715
1900,11,train,total,0.23895898461341858
2000,11,train,eikonal,0.0008763357764109969
2000,11,train,render,0.22163039445877075
2000,11,train,total,0.22171802818775177
2100,12,train,eikonal,0.0013230583863332868
2100,12,train,render,0.20762577652931213
2100,12,train,total,0.2077580839395523
2200,12,train,eikonal,0.0015032548690214753
2200,12,train,render,0.24354428052902222
2200,12,train,total,0.24369460344314575
2300,13,train,eikonal,0.0011946025770157576
2300,13,train,render,0.36246150732040405
2300,13,train,total,0.36258095502853394
2400,14,train,eikonal,0.0010684693697839975
2400,14,train,render,0.20873892307281494
2400,14,train,total,0.20884576439857483
2500,14,train,eikonal,0.0013348257634788752
2500,14,train,render,0.28007930517196655
2500,14,train,total,0.28021278977394104
2600,15,train,eikonal,0.0019325423054397106
2600,15,train,render,0.27125319838523865
2600,15,train,total,0.27144646644592285
2700,15,train,eikonal,0.002808175515383482
2700,15,train,render,0.3725500702857971
2700,15,train,total,0.37283089756965637
2800,16,train,eikonal,0.0009842327563092113
2800,16,train,render,0.25385206937789917
2800,16,train,total,0.2539505064487457
2900,17,train,eikonal,0.000987140811048448
2900,17,train,render,0.24702668190002441
2900,17,train,total,0.24712540209293365
3000,17,train,eikonal,0.0037917334120720625
3000,17,train,render,0.21174359321594238
3000,17,train,total,0.21212276816368103
3100,18,train,eikonal,0.0013251615455374122
3100,18,train,render,0.22787690162658691
3100,18,train,total,0.2280094176530838
3200,18,train,eikonal,0.0027948159258812666
3200,18,train,render,0.24052418768405914
3200,18,train,total,0.24080367386341095
3300,19,train,eikonal,0.006116664037108421
3300,19,train,render,0.2908692955970764
3300,19,train,total,0.2914809584617615
3400,20,train,eikonal,0.0019652133341878653
3400,20,train,render,0.4018765687942505
3400,20,train,total,0.40207308530807495
3500,20,train,eikonal,0.0017857267521321774
3500,20,train,render,0.2589208483695984
3500,20,train,total,0.25909942388534546
3600,21,train,eikonal,0.0024935929104685783
3600,21,train,render,0.2610050439834595
3600,21,train,total,0.2612544000148773
3700,21,train,eikonal,0.005083336494863033
3700,21,train,render,0.2544925808906555
3700,21,train,total,0.25500091910362244
3800,22,train,eikonal,0.002522398019209504
3800,22,train,render,0.39518529176712036
3800,22,train,total,0.3954375386238098
3900,22,train,eikonal,0.0012640119530260563
3900,22,train,render,0.23516638576984406
3900,22,train,total,0.23529279232025146
4000,23,train,eikonal,0.002835041843354702
4000,23,train,render,0.255047470331192
4000,23,train,total,0.25533097982406616
4100,24,train,eikonal,0.0022262479178607464
4100,24,train,render,0.2621312141418457
4100,24,train,total,0.2623538374900818
4200,24,train,eikonal,0.0016703112050890923
4200,24,train,render,0.2551420032978058
4200,24,train,total,0.2553090453147888
4300,25,train,eikonal,0.0020278077572584152
4300,25,train,render,0.2180338203907013
4300,25,train,total,0.21823659539222717
4400,25,train,eikonal,0.004009890370070934
4400,25,train,render,0.2280457317829132
4400,25,train,total,0.22844672203063965
4500,26,train,eikonal,0.0018726589623838663
4500,26,train,render,0.2322889268398285
4500,26,train,total,0.23247618973255157
4600,27,train,eikonal,0.002246072283014655
4600,27,train,render,0.21677854657173157
4600,27,train,total,0.21700315177440643
4700,27,train,eikonal,0.0024192018900066614
4700,27,train,render,0.23743563890457153
4700,27,train,total,0.23767755925655365
4800,28,train,eikonal,0.0032925461418926716
4800,28,train,render,0.23793736100196838
4800,28,train,total,0.23826661705970764
4900,28,train,eikonal,0.0016885832883417606
4900,28,train,render,0.26207631826400757
4900,28,train,total,0.26224517822265625
5000,29,train,eikonal,0.0010013349819928408
5000,29,train,render,0.34516406059265137
5000,29,train,total,0.345264196395874
5100,30,train,eikonal,0.002963033504784107
5100,30,train,render,0.2538056969642639
5100,30,train,total,0.2541019916534424
5200,30,train,eikonal,0.002529480494558811
5200,30,train,render,0.2015526294708252
5200,30,train,total,0.20180557668209076
5300,31,train,eikonal,0.0021257696207612753
5300,31,train,render,0.2618274688720703
5300,31,train,total,0.26204004883766174
5400,31,train,eikonal,0.0015147645026445389
5400,31,train,render,0.2221130132675171
5400,31,train,total,0.22226448357105255
5500,32,train,eikonal,0.002000833861529827
